Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
RHP,Ryman Hospitality Properties Inc,60102040,특수 REITs,8384926800,"11조 3,322억원",USD
ADC,Agree Realty Corporation,60102020,상업용 REITs,8373215149,"11조 3,164억원",USD
S,SentinelOne Inc,57201020,소프트웨어,8300971440,"11조 2,188억원",USD
PB,Prosperity Bancshares  Inc.,55101010,은행,8275372451,"11조 1,842억원",USD
UGP,Ultrapar Participacoes SA ADR,50102030,"오일, 가스 정제 및 마케팅",8231552655,"11조 1,249억원",USD
BIO,Bio-Rad Laboratories  Inc. Class A,56101020,"의료 장비, 물품 및 유통",8227990891,"11조 1,201억원",USD
MHK,Mohawk Industries  Inc.,53204040,가정용 가구,8211895318,11조 984억원,USD
FR,First Industrial Realty Trust  Inc.,60102020,상업용 REITs,8204939628,11조 890억원,USD
CNM,Core & Main Inc,52102010,산업용 기계 및 장비,8193149091,11조 730억원,USD
NEU,NewMarket Corporation,51101010,상품 화학,8173581725,11조 466억원,USD
HESM,Hess Midstream LP,50103030,오일 및 가스 수송 서비스,8076006596,"10조 9,147억원",USD
SBSW,Sibanye Stillwater Limited ADR,51201010,금 제외 귀금속 및 광물,8073631144,"10조 9,115억원",USD
SM,SM Energy Co,50102020,"오일, 가스 탐사 및 생산",8068009987,"10조 9,039억원",USD
KMX,Carmax Inc,53403010,"자동차 차량, 부품 및 서비스 소매",8066226697,"10조 9,015억원",USD
KNSL,Kinsale Capital Group Inc,55301020,손해보험,8014133268,"10조 8,311억원",USD
ACM,AECOM,52201020,건설 및 엔지니어링,8013926385,"10조 8,308억원",USD
TKR,Timken Co,52102010,산업용 기계 및 장비,8005170841,"10조 8,190억원",USD
STN,Stantec Inc.,52201020,건설 및 엔지니어링,7988246892,"10조 7,961억원",USD
NNN,NNN REIT  Inc.,60102020,상업용 REITs,7984346240,"10조 7,908억원",USD
ATR,AptarGroup  Inc.,51302010,용기(종이 제외) 및 포장재,7976252633,"10조 7,799억원",USD
UGI,UGI Corporation,59102010,천연가스 유틸리티,7904139534,"10조 6,824억원",USD
CHWY,Chewy Inc,53403090,기타 전문 소매,7901889715,"10조 6,794억원",USD
LNC,Lincoln National Corp,55301030,생명 및 건강 보험,7851255249,"10조 6,110억원",USD
PCOR,Procore Technologies Inc,57201020,소프트웨어,7726928937,"10조 4,429억원",USD
VIST,Vista Energy  S.A.B. de C.V. ADR,50102020,"오일, 가스 탐사 및 생산",7679060047,"10조 3,782억원",USD
THG,The Hanover Insurance Group  Inc.,55301020,손해보험,7605084469,"10조 2,783억원",USD
ZETA,Zeta Global Holdings Corp.,57201020,소프트웨어,7563039919,"10조 2,214억원",USD
AOS,A. O. Smith Corporation,52102030,전기 부품 및 장비,7904442606,"10조 6,829억원",USD
MOS,Mosaic Co,51101020,농화학제,7861559326,"10조 6,249억원",USD
ZWS,Zurn Elkay Water Solutions Corp,53203020,건설 자재 및 비품,7780684790,"10조 5,156억원",USD
LEVI,Levi Strauss & Co,53202020,의류 및 액세서리,7720102274,"10조 4,337억원",USD
BF B,Brown-Forman Corporation Class B,54101020,증류주 및 포도주,7712583529,"10조 4,236억원",USD
EMN,Eastman Chemical Co,51101030,특수 화학제,7671293626,"10조 3,678억원",USD
RAL,Ralliant Corporation,52102010,산업용 기계 및 장비,7634160552,"10조 3,176억원",USD
NFG,National Fuel Gas Company,59102010,천연가스 유틸리티,7603607920,"10조 2,763억원",USD
HNGE,Hinge Health  Inc.,57201020,소프트웨어,7597379361,"10조 2,679억원",USD
IDA,IDACORP  Inc.,59101010,전력 유틸리티,7538553464,"10조 1,884억원",USD
SARO,StandardAero  Inc.,52101010,항공우주 및 방위,7538344638,"10조 1,881억원",USD
GAP,The Gap  Inc.,53403040,의류 및 액세서리 소매,7538257140,"10조 1,880억원",USD
OKLO,Oklo Inc.,59101010,전력 유틸리티,7524413943,"10조 1,692억원",USD
ASR,Grupo Aeroportuario del Sureste SAB de CV ADR,52407010,공항 운영 및 서비스,7341300000,"9조 9,218억원",USD
COMP,Compass Inc,57201010,IT 서비스 및 컨설팅,7325239645,"9조 9,001억원",USD
SSD,Simpson Manufacturing Co.  Inc.,53203020,건설 자재 및 비품,7241993309,"9조 7,876억원",USD
TRNO,Terreno Realty Corporation,60102020,상업용 REITs,7235628584,"9조 7,790억원",USD
FLR,Fluor Corp,52201020,건설 및 엔지니어링,7226029850,"9조 7,660억원",USD
SOBO,South Bow Corporation,50103030,오일 및 가스 수송 서비스,7217495194,"9조 7,544억원",USD
ACA,Arcosa  Inc.,52201020,건설 및 엔지니어링,7199058199,"9조 7,295억원",USD
STAG,STAG Industrial  Inc.,60102020,상업용 REITs,7195606838,"9조 7,249억원",USD
NOV,NOV Inc.,50103020,오일 관련 서비스 및 장비,7193728563,"9조 7,223억원",USD
CMC,Commercial Metals Co,51201020,철 및 강철,7190581775,"9조 7,181억원",USD
NE,Noble Corporation PLC,50103010,오일 및 가스 시추,7190285499,"9조 7,177억원",USD
CLF,Cleveland-Cliffs Inc,51201020,철 및 강철,7148866789,"9조 6,617억원",USD
BA PRA,Boeing Depositary Shares Representing a 1 20th int in a share of 6 00 Mndtry,52101010,항공우주 및 방위,7120800000,"9조 6,238억원",USD
PRMB,Primo Brands Corp,54101030,무알콜 음료,7108574366,"9조 6,072억원",USD
HIMS,Hims & Hers Health  Inc.,56102010,의료 시설 및 서비스,7099727158,"9조 5,953억원",USD
