Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
TRMB,Trimble Inc,57201020,소프트웨어,13827564986,"18조 6,880억원",USD
SMMT,Summit Therapeutics Inc.,56202010,생명 공학 및 의학 연구,13657473186,"18조 4,581억원",USD
SWKS,Skyworks Solutions  Inc.,57101010,반도체,13536531469,"18조 2,946억원",USD
QNT,Quantinuum Inc,57201010,IT 서비스 및 컨설팅,13531405417,"18조 2,877억원",USD
REG,Regency Centers Corp,60102020,상업용 REITs,13464853821,"18조 1,977억원",USD
CHTR,Charter Communications  Inc.,57401010,통합 통신 서비스,13435356829,"18조 1,579억원",USD
TTMI,TTM Technologies Inc,57101010,반도체,13428819694,"18조 1,490억원",USD
HTHT,H World Group Limited ADR,53301010,"호텔, 모텔 및 크루즈 라인",13308920815,"17조 9,870억원",USD
ICLR,ICON PLC,56202010,생명 공학 및 의학 연구,12893239866,"17조 4,252억원",USD
AMKR,Amkor Technology  Inc.,57101020,반도체 장비 및 테스트,13563020446,"18조 3,304억원",USD
BBIO,BridgeBio Pharma  Inc.,56201040,제약,13533980182,"18조 2,912억원",USD
HUT,Hut 8 Corp,57301030,블록 체인 및 암호화폐,13140691883,"17조 7,596억원",USD
HALO,Halozyme Therapeutics  Inc.,56201040,제약,13067024740,"17조 6,601억원",USD
GRAB,Grab Holdings Limited,57201020,소프트웨어,12969427340,"17조 5,282억원",USD
AUR,Aurora Innovation  Inc.,57201020,소프트웨어,12946843031,"17조 4,977억원",USD
FOXA,Fox Corporation Class A,53302020,방송,12941547127,"17조 4,905억원",USD
IESC,IES Holdings Inc,52201020,건설 및 엔지니어링,12794225962,"17조 2,914억원",USD
FIVE,Five Below  Inc.,53402010,백화점,12787951250,"17조 2,829억원",USD
COKE,Coca-Cola Consolidated Inc,54101030,무알콜 음료,12712448868,"17조 1,809억원",USD
CORT,Corcept Therapeutics Incorporated,56201040,제약,12702102139,"17조 1,669억원",USD
